index;2025;2030;2035;2040;2045;2050
Investeringsplan 1;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 2;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 3;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 4;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 5;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 6;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 7;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 8;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 9;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 10;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 11;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 12;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 13;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 14;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 15;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 16;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 17;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 18;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 19;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 20;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 21;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 22;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 23;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 24;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 25;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 26;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 27;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 28;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 29;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 30;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 31;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 32;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 33;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 34;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 35;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 36;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 37;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 38;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
Investeringsplan 39;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000;00000000000000000000
